Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches
15,15,SR14 (AAA-4),vAtakShayaH,(a) vātakṣayaḥ,वातक्षयः,,"It is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. This may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications.",
16,16,AAB,nAnAtmajavAtavikAraH,nānātmajavātavikāraḥ,नानात्मजवातविकारः,,,
17,17,SQ00 (AAB-1),atipralApaH (kEvalavAta),(a) atipralāpaḥ                       (a) pralāpakaḥ,अतिप्रलापः (केवलवात),,"It is characterised by irrelevant and irrational talk, mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties.",
18,18,SQ05(AAB-2),anavasthitacittatvam (kEvalavAta),(a) anavasthitacittatvam,अनवस्थितचित्तत्वम् (केवलवात),,"It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.",
19,19,AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),(a) aṅgamardaḥ,अङ्गमर्दः (केवलवात),,,
20,20,AAB-4 (SP9Y),a~ggaSuShkatA (kEvalavAta),(a) aṅgaśuṣkatā,अङ्गशुष्कता (केवलवात),,,
21,21,SP21 (AAB-5),a~ggaviBraMSaH (kEvalavAta),(a) aṅgavibhraṁśaḥ,अङ्गविभ्रंशः (केवलवात),,"It is characterised by atony or flaccidity of the joints, muscles and body parts. This may be explained by: (a) Obstructed or aggravated vata causes loss of functions, flaccidity.",
22,22,AAB-6,arditaH (kEvalavAta),arditaḥ (kēvalavāta),अर्दितः (केवलवात),,,
23,23,SM1P (AAB-7),arasaj~jatA (kEvalavAta),(a) arasajñatā,अरसज्ञता (केवलवात),,"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.",
24,24,AAB-8,aSabdaSravaNam (kEvalavAta),aśabdaśravaṇam (kēvalavāta),अशब्दश्रवणम् (केवलवात),,,
25,25,AAB-9,asvapnaH (kEvalavAta),asvapnaḥ (kēvalavāta),अस्वप्नः (केवलवात),,,
26,26,AAB-10,akShiBedaH (kEvalavAta),akṣibhēdaḥ (kēvalavāta),अक्षिभेदः (केवलवात),,,
27,27,AAB-11,akShivyudAsaH (kEvalavAta),akṣivyudāsaḥ (kēvalavāta),अक्षिव्युदासः (केवलवात),,,
28,28,AAB-12,akShiSUlaH (kEvalavAta),akṣiśūlaḥ (kēvalavāta),अक्षिशूलः (केवलवात),,,
29,29,AAB-13,ATopaH (kEvalavAta),āṭōpaḥ (kēvalavāta),आटोपः (केवलवात),,,
30,30,AAB-14,AkShepakaH (kEvalavAta),ākṣēpakaḥ (kēvalavāta),आक्षेपकः (केवलवात),,,
31,31,SK84 (AAB-15),uccaiHSrutiH (kEvalavAta),(a) uccaiḥśrutiḥ,उच्चैःश्रुतिः (केवलवात),,"It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear.",
32,32,AAB-16,udarAveShTaH (kEvalavAta),udarāvēṣṭaḥ (kēvalavāta),उदरावेष्टः (केवलवात),,,
33,33,AAB-17,udAvartaH (kEvalavAta),udāvartaḥ (kēvalavāta),उदावर्तः (केवलवात),,,
34,34,AAB-18,UrustamBaH/ADhyavAtaH (kEvalavAta),ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta),ऊरुस्तम्भः/आढ्यवातः (केवलवात),,,
35,35,AAB-19,UrusAdaH (kEvalavAta),ūrusādaḥ (kēvalavāta),ऊरुसादः (केवलवात),,,
36,36,AAB-20,ekA~ggarogaH (kEvalavAta),ēkāṅgarōgaḥ (kēvalavāta),एकाङ्गरोगः (केवलवात),,,
37,37,AAB-21,oShThaBedaH (kEvalavAta),ōṣṭhabhēdaḥ (kēvalavāta),ओष्ठभेदः (केवलवात),,,
38,38,SL02 (AAB-22),kaNThodhvaMsaH (kEvalavAta),(a) kaṇṭhodhvaṃsaḥ,कण्ठोध्वंसः (केवलवात),,"It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties.",
39,39,AAB-23,karNaSUlaH (kEvalavAta),karṇaśūlaḥ (kēvalavāta),कर्णशूलः (केवलवात),,,
40,40,AAB-24,kampaH/vepathuH (kEvalavAta),kampaḥ/vēpathuḥ (kēvalavāta),कम्पः/वेपथुः (केवलवात),,,
41,41,AAB-25 (SM1Y),kaShAyAsyatA (kEvalavAta),(a) kaṣāyāsyatā,कषायास्यता (केवलवात),,,
42,42,SP97 (AAB-26),klamaH (kEvalavAta),(a) klamaḥ,क्लमः (केवलवात),,"It is characterised by feeling extreme exhaustion even without any physical effort, work. This may be explained by: (a) Vitiation of all the three dosha, seven elementary tissues and ojas.",
43,43,SN41 (AAB-27),kArShNyam (kEvalavAta),(a) kārṣṇyam,कार्ष्ण्यम् (केवलवात),,It is characterised by discoloration or pigmentation of skin. This may be explained by: (a) Increased vatadosha.,
44,44,AAB-28,kubjatvam (kEvalavAta),kubjatvam (kēvalavāta),कुब्जत्वम् (केवलवात),,,
45,45,SP61 (AAB-29),kArSyam (kEvalavAta),(a) kārśyam,कार्श्यम् (केवलवात),,"It is characterised by sudden or gradual loss of body weight, loss of muscle. This may be explained by: (a) Emaciation in the body due to vitiation of vāta.",
46,46,SN4C (AAB-30),keSaBUmisPuTanam (kEvalavAta),(a) keśabhūmisphuṭanam,केशभूमिस्फुटनम् (केवलवात),,It is characterised by scaling of scalp / forehead skin. This may be explained by: (a) Increased vatadosha.,
47,47,AAB-31,kha~jjaH/kha~jjatvam (kEvalavAta),khañjaḥ/khañjatvam (kēvalavāta),खञ्जः/खञ्जत्वम् (केवलवात),,,
48,48,AAB-32,garBanASaH (kEvalavAta),garbhanāśaḥ (kēvalavāta),गर्भनाशः (केवलवात),,,
49,49,SP45 (AAB-33),grIvAstamBaH (kEvalavAta),(a) grīvāstambhaḥ,ग्रीवास्तम्भः (केवलवात),,"It is characterised by pain, stiffness of the neck. This may be explained by: (a) Vitiation of vata causing stiffness of neck muscles.",
50,50,AAB-34,gudaBraMSaH (kEvalavAta),gudabhraṁśaḥ (kēvalavāta),गुदभ्रंशः (केवलवात),,,
51,51,SM50 (AAB-35),gudArtiH (kEvalavAta),(a) gudārtiḥ,गुदार्तिः (केवलवात),,It is characterised by pain in the anal region radiating to rest of perineum and lower back. This may be explained by: (a) Severe vitiation of Descending vata affecting the anal region.,
52,52,AAB-36 (SP1Y),gulPa-grahaH (kEvalavAta),(a) gulpha-grahaḥ,गुल्फ-ग्रहः (केवलवात),,,
53,53,AAB-37,gRudhrasI (kEvalavAta),gr̥dhrasī (kēvalavāta),गृध्रसी (केवलवात),,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body]",
54,54,SK91 (AAB-38),ghrANanASaH/nAsAhuNDanam (kEvalavAta),(a) ghrāṇanāśaḥ,घ्राणनाशः/नासाहुण्डनम् (केवलवात),,"It is characterised by decreased or loss of the smell. It may be explained by: (a) Vatadosha, kaphadosha blocking nasal passages",
55,55,AAB-39(SP1Y),jAnuBedaH (kEvalavAta),(a) jānubhedaḥ,जानुभेदः (केवलवात),,,
56,56,AAB-40 (SP1Y),jAnuviSleShaH (kEvalavAta),(a) jānuviśleṣaḥ,जानुविश्लेषः (केवलवात),,,
57,57,SP95 (AAB-41),jRumBA (kEvalavAta),(a) jr̥mbhā,जृम्भा (केवलवात),,It is characterised by morbid excessive yawning. This may be explained by: (a) Increased vatadosha.,
58,58,AAB-42(SP98),tamaH (kEvalavAta),(a) tamaḥ,तमः (केवलवात),,,
59,60,AAB-43,timiraH (kEvalavAta),timiraḥ (kēvalavāta),तिमिरः (केवलवात),,,
60,61,AAB-44 (SN9Y),tvakSUnyatA (kEvalavAta),(a) prasuptiḥ                              (a) tvakśūnyatā,त्वक्शून्यता (केवलवात),,,
61,62,AAB-45 (SP9Y),todaH (kEvalavAta),(a) todaḥ,तोदः (केवलवात),,,
62,63,AAB-46(SK30),daNDakaH (kEvalavAta),(a) daṇḍakaḥ,दण्डकः (केवलवात),,,
63,64,AAB-47,dantaBedaH (kEvalavAta),dantabhēdaḥ (kēvalavāta),दन्तभेदः (केवलवात),,,
64,65,AAB-48 (SM1Y),dantaSaithilyam (kEvalavAta),(a) dantaśaithilyam,दन्तशैथिल्यम् (केवलवात),,,
65,66,SN60(AAB-49),nakhaBedaH (kEvalavAta),(a) nakhabhedaḥ,नखभेदः (केवलवात),,"It is characterised by whitish, mica coloured discoloration, brittleness of nails. This may be explained by: (a) Vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha.",
66,67,AAB-50(SN7Y),hrasvakeSaH (kEvalavAta),(a) hrasvakeśaḥ,ह्रस्वकेशः (केवलवात),,,
67,68,AAB-51,nirAmavAtaH,nirāmavātaḥ,निरामवातः,,,
68,69,AAB-52,pakShAghAtaH/pakShavadhaH (kEvalavAta),pakṣāghātaḥ/pakṣavadhaḥ (kēvalavāta),पक्षाघातः/पक्षवधः (केवलवात),,,
69,70,AAB-53(SK21),pA~ggulyam (kEvalavAta),(a) pāṅgulyam,पाङ्गुल्यम् (केवलवात),,,
70,71,AAB-54(SK5Y),pAdaBraMSaH (kEvalavAta),(a) pādabhraṃśaḥ,पादभ्रंशः (केवलवात),,,
71,72,AAB-55(SP4Y),pAdaSUlaH (kEvalavAta),(a) pādaśūlaḥ,पादशूलः (केवलवात),,,
72,73,AAB-56(SP45),pAdasuptatA (kEvalavAta),(a) pādasuptatā,पादसुप्तता (केवलवात),,,
73,74,SN4R(AAB-57),pAruShyam (kEvalavAta),(a) pāruṣyam,पारुष्यम् (केवलवात),,It is characterised by roughness and thickness of skin may be associated with itching. This may be explained by: (a) Vitiated vatadosha.,
74,75,AAB-58,pArSvAvamardaH (kEvalavAta),pārśvāvamardaḥ (kēvalavāta),पार्श्वावमर्दः (केवलवात),,,
75,76,AAB-59(SP9Y),piNDikodveShTanam (kEvalavAta),(a) piṇḍikodveṣṭanam,पिण्डिकोद्वेष्टनम् (केवलवात),,,
76,77,AAB-60,purIShAtigADhatvam (kEvalavAta),purīṣātigāḍhatvam (kēvalavāta),पुरीषातिगाढत्वम् (केवलवात),,,
77,78,SP42(AAB-61),pRuShTha-grahaH (kEvalavAta),(a) pṛṣṭha-grahaḥ,पृष्ठ-ग्रहः (केवलवात),,"It is characterised by backache of various degrees associated with stiffness and immobility. This may be explained by: (a) Vitiation of vata, kapha affecting the local muscle tissue.",
78,79,AAB-62,pralApakaH (kEvalavAta),pralāpakaḥ (kēvalavāta),प्रलापकः (केवलवात),,,
79,80,AAB-63,bAdhiryam (kEvalavAta),bādhiryam (kēvalavāta),बाधिर्यम् (केवलवात),,,
80,81,AAB-64(SP4Y),bAhuSoShaH (kEvalavAta),(a) bāhuśoṣaḥ,बाहुशोषः (केवलवात),,,
81,82,AAB-65(SP9Y),balahAniH (kEvalavAta),(a) balahāniḥ,बलहानिः (केवलवात),,,
82,83,AAB-66(SP9Y),BedaH (kEvalavAta),(a) bhedaḥ,भेदः (केवलवात),,,
83,84,AAB-67,BIrutA (kEvalavAta),,भीरुता (केवलवात),,,
84,85,AAB-68(SM7Y),mala-apravRutiH (kEvalavAta),(a) mala-apravṛtiḥ,मल-अप्रवृतिः (केवलवात),,,
85,86,AAB-69,mUkatvam (kEvalavAta),mūkatvam (kēvalavāta),मूकत्वम् (केवलवात),,,
86,87,AAB-70,mohaH (kEvalavAta),mōhaḥ (kēvalavāta),मोहः (केवलवात),,,
87,88,AAB-71,BramaH (kEvalavAta),bhramaḥ (kēvalavāta),भ्रमः (केवलवात),,,
88,89,AAB-72(SK5Y),BrUvyudAsaH (kEvalavAta),(a) bhrūvyudāsaḥ,भ्रूव्युदासः (केवलवात),,,
89,90,AAB-73,manyAstamBaH (kEvalavAta),,मन्यास्तम्भः (केवलवात),,,
90,91,SM1N(AAB-74),mukhaSoShaH (kEvalavAta),(a) mukhaśoṣaḥ,मुखशोषः (केवलवात),,"It is characterised by dryness of the tongue and may be associated with dryness of mouth, bitterness, heartburn. This may be explained by: (a) Vitiation of kapha, vata affecting the tongue.",
91,92,SM81(AAB-75),mUtranigrahaH (kEvalavAta),(a) mūtranigrahaḥ,मूत्रनिग्रहः (केवलवात),,"It is characterised by retention of urine, inability to urinate, abdominal pain. This may be explained by: (a) Retention of the urine due to vātadosha.",
92,93,AAB-76,rajonASaH (kEvalavAta),rajōnāśaḥ (kēvalavāta),रजोनाशः (केवलवात),,,
93,94,SN42(AAB-77),raukShyam (kEvalavAta),(a) raukṣyam,रौक्ष्यम् (केवलवात),,"It is characterised by dryness, scaliness and cracking of extremities and face. This may be explained by: (a) Increased vata affecting skin",
94,95,AAB-78(SP9Y),lomaharShaH (kEvalavAta),(a) lomaharṣaḥ,लोमहर्षः (केवलवात),,,
95,96,AAB-79(SK0Y),lalATaBedaH (kEvalavAta),(a) lalāṭabhedaḥ,ललाटभेदः (केवलवात),,,
96,97,AAB-80(SP1Y),trikagrahaH (kEvalavAta),(a) trikagrahaḥ,त्रिकग्रहः (केवलवात),,,
97,98,AAB-81,vartmastamBaH (kEvalavAta),vartmastambhaḥ (kēvalavāta),वर्त्मस्तम्भः (केवलवात),,,
98,99,AAB-82(SK7Y),vartmasa~gkocaH (kEvalavAta),(a) vartmasaṅkocaḥ,वर्त्मसङ्कोचः (केवलवात),,,
99,100,AAB-83(SP9Y),vakShoparodhaH (kEvalavAta),(a) vakṣoparodhaḥ,वक्षोपरोधः (केवलवात),,,
100,101,AAB-84(SP9Y),vakShastodaH (kEvalavAta),(a) vakṣastodaḥ,वक्षस्तोदः (केवलवात),,,
101,102,SK53(AAB-85),vAk-sa~ggaH (kEvalavAta),(a) vāk-saṅgaḥ,वाक्-सङ्गः (केवलवात),,"It is characterised by loss of speech clarity, lalling, strained speech, may be aggravated due to excess speech. This may be explained by: (a) Aggravagtion of vata affecting kapha and faculty of speech.",
102,103,AAB-86(SP9Y),vAcAlatA (kEvalavAta),(a) vācālatā,वाचालता (केवलवात),,,
103,104,AAB-87(SP1Y),vAtakhuDDatA/vAtakaNTakaH (kEvalavAta),"(a) vātakhuḍḍatā,                    (a) vātakaṇṭakaḥ",वातखुड्डता/वातकण्टकः (केवलवात),,,
104,105,AAB-88(SP9Y),vAmanatvam (kEvalavAta),(a) vāmanatvam,वामनत्वम् (केवलवात),,,
105,106,AAB-89(SM37),viD-BedaH (kEvalavAta),(a) viḍ-bhedaḥ,विड्-भेदः (केवलवात),,,
106,107,AAB-90,vipAdikA (nAnAtmaja) (kEvalavAta),vipādikā (nānātmaja) (kēvalavāta),विपादिका (नानात्मज) (केवलवात),,,
107,108,AAB-91(SQ04),viShAdaH/dInatA (kEvalavAta),(a) viṣādaḥ (a) dīnatā,विषादः/दीनता (केवलवात),,,
108,109,AAB-92(SN3Y),vRuShaNAkShepaH (kEvalavAta),(a) vṛṣaṇākṣepaḥ,वृषणाक्षेपः (केवलवात),,,
109,110,AAB-93(SP4Y),va~gkShaNAnAhaH (kEvalavAta),(a) vaṅkṣaṇānāhaḥ,वङ्क्षणानाहः (केवलवात),,,
110,111,AAB-94(SP9Y),vyathA (kEvalavAta),(a) vyathā,व्यथा (केवलवात),,,
111,112,AAB-95(SL7Y),SirAsPUrtiH (kEvalavAta),(a) śirāsphūrtiḥ,शिरास्फूर्तिः (केवलवात),,,
112,113,AAB-96,Siroruk (kEvalavAta),śirōruk (kēvalavāta),शिरोरुक् (केवलवात),,,
113,114,SN03(AAB-97),SukrakShayaH (kEvalavAta),(a) śukrakṣayaḥ,शुक्रक्षयः (केवलवात),,"It is characterised by decreased quantity and quality of semen, decreased sexual power, spermatorrhoea. This may be explained by: (a) Vitiation of all three dosha affecting male reproductive system.",
114,115,AAB-98,Sa~gkhaBedaH (kEvalavAta),śaṅkhabhēdaḥ (kēvalavāta),शङ्खभेदः (केवलवात),,,
115,116,SN07(AAB-99),SePastamBaH (kEvalavAta),(a) śephastambhaḥ,शेफस्तम्भः (केवलवात),,It is characterised by painful penile erection. This may be explained by: (a) Vitiated vata affecting the penis.,
116,117,AAB-100(SP9Y),Saityam (kEvalavAta),(a) śaityam,शैत्यम् (केवलवात),,,
117,119,AAB-101,SyAvAruNAsyatA (kEvalavAta),śyāvāruṇāsyatā (kēvalavāta),श्यावारुणास्यता (केवलवात),,,
118,120,AAB-102,SroNiBedaH (kEvalavAta),śrōṇibhēdaḥ (kēvalavāta),श्रोणिभेदः (केवलवात),,,
119,121,AAB-103(SP9Y),sa~gkocaH (kEvalavAta),(a) saṅkocaḥ,सङ्कोचः (केवलवात),,,
120,122,AAB-104,svedanASaH (kEvalavAta),svēdanāśaḥ (kēvalavāta),स्वेदनाशः (केवलवात),,,
121,123,AAB-105(SP9Y),SramaH (kEvalavAta),(a) śramaḥ,श्रमः (केवलवात),,,
122,124,AAB-106,sarvA~ggarogaH/sarvA~ggavAtaH (kEvalavAta),sarvāṅgarōgaḥ/sarvāṅgavātaḥ (kēvalavāta),सर्वाङ्गरोगः/सर्वाङ्गवातः (केवलवात),,,
123,125,AAB-107(SK52),stamBaH (kEvalavAta),(a) stambhaḥ,स्तम्भः (केवलवात),,,
124,126,AAB-108(SP4Y),hanuBedaH (kEvalavAta),(a) hanubhedaḥ,हनुभेदः (केवलवात),,,
125,127,AAB-109,hikkA (kEvalavAta),hikkā (kēvalavāta),हिक्का (केवलवात),,,
126,128,SL62(AAB-110),hRuddravaH (kEvalavAta),(a) hṛddravaḥ,हृद्द्रवः (केवलवात),,It is characterised by feeling of increased beating of the heart which is within the notice of the patient with or without tachycardia. This may be explained by: (a) Vitiation of vata affecting the heart region.,
127,129,SL60(AAB-111),hRunmohaH (kEvalavAta),(a) hṛnmohaḥ,हृन्मोहः (केवलवात),,It is characterised by decreased heart rate may be associated with decreased heart function. This may be explained by: (a) Vitiated vata affecting pitta for intellect.,
128,130,AAC,sAmAnyajavAtavikAraH,sāmānyajavātavikāraḥ,सामान्यजवातविकारः,,,
129,131,AAC-1(SK30),antarAyAmaH,(a) antarāyāmaḥ,अन्तरायामः,,,
130,132,AAC-2(SK30),apatantrakaH,(a) apatantrakaḥ,अपतन्त्रकः,,,
131,133,AAC-2.1,asAdhya-apatantrakaH,asādhya-apatantrakaḥ,असाध्य-अपतन्त्रकः,,"the disorder is characterized by garbhapātasamutpannaḥ [caused by miscarriage], śōṇitātisravōtthitaḥ [caused by excessive bleeding/heamorrhage], abhighātasamutthaḥ [caused by trauma]",
132,134,AAC-3(SK30),apatAnakaH,(a) apatānakaḥ,अपतानकः,,,
133,135,SK20(AAC-4),arditaH,(a) arditaḥ,अर्दितः,,"It is characterised by deviation of one side of the face, difficulty in speech, loss of wrinkling, non closure of eyes and lips and dribbling of saliva from the angles of mouth This may be explained by: (a) increased vatadosha affecting one half of the face.",
134,136,AAC-4.1,ardita-pUrvarupam,ardita-pūrvarupam,अर्दित-पूर्वरुपम्,,"the disorder is characterized by rōmaharṣaḥ [horripilation], vēpathuḥ [shivering/tremors], āvilanētraḥ [turbid/muddy eyes], tvaci svāpaḥ [numbness in skin], tōdaḥ [pricking pain], manyāgrahaḥ [neck stiffness], hanugrahaḥ [lock jaw/catching sensation over jaw], ūrdhvavāyuḥ [upward movement of vāyu]",
135,137,AAC-4.2,asAdhya-arditaH,asādhya-arditaḥ,असाध्य-अर्दितः,,"the disorder is characterized by avyaktabhāṣaṇam [incoherent speech], prasaktabhāṣaṇam [stammering speech/unable to speak, aphasia], kṣīṇaḥ [debilitatated person], kampaḥ/vēpanam [tremors], animiṣākṣasya [unable to close eye]",
136,138,AAC-5(SP0Y),asthipraBedaH,(a) asthiprabhedaḥ,अस्थिप्रभेदः,,,
137,139,SP00(AAC-6),asthiSoShaH,(a) asthiśoṣaḥ,अस्थिशोषः,,"It is characterised by atrophy, weakness of bones; may lead to fractures. This may be explained by: (a) Weak digestive and metabolic factors, bone metabolism, malnutrition leading to severe aggravation of vata and decrease of kapha.",
138,140,SN08(AAC-7),vAtAShThIlA,(a) vātāṣṭhīlā,वाताष्ठीला,,"It is characterised by increased frequency of urination, obstruction in passing urine, hesitancy, weak urinary stream. This may be explained by: (a) Vitiated vatadosha affecting urinary system.",
139,141,SP15(AAC-8),avabAhukaH,(a) avabāhukaḥ,अवबाहुकः,,"""It is characterised by pain, stiffness and restricted movements of the shoulder joint. This may be explained by: (a) Increased vatadosha affecting the nerves and vessels of shoulder region.",
140,142,SK55(AAC-9),UrustamBaH/ADhyavAtaH,(a) ūrustambhaḥ,ऊरुस्तम्भः/आढ्यवातः,,"It is characterised by flaccidity,log like immobility of the thighs. This may be explained by: (a) Obstruction of vata by the ama (state of incomplete digestion, transformation or metabolism).",
141,143,AAC-9.1,UrustamBa-pUrvarUpam,ūrustambha-pūrvarūpam,ऊरुस्तम्भ-पूर्वरूपम्,,"the disorder is characterized by dhyānaḥ [insensibility/meditatitve appearance], nidrā [sleep], atistaimityam/stimitatā [excessive rigidity], arōcakaḥ [tastelessness], jvaraḥ [fever], lōmaharṣaḥ [horripilation], chardiḥ [vomiting], jaṅghāsadanam [asthenia/fatigue of calf muscles], ūrusadanam [fatigue /weakness in thighs]",
142,144,AAC-9.2(SK55),asAdhya-UrustamBaH,(a) asādhya-ūrustambhaḥ,असाध्य-ऊरुस्तम्भः,,,
143,145,AAC-10(SP2Y ),aMsaSoShaH,(a) aṃsaśoṣaḥ,अंसशोषः,,,
144,146,SK30(AAC-11),AkShepakaH,(a) ākṣepakaḥ,आक्षेपकः,,"It is characterised by sudden, involuntary contractions of muscles, associated with dribbling of saliva, froth in the mouth and deviation of mouth, staring of eyes or rolling of eyeball. This may be explained by: (a) vitiated vatadosha affecting motor faculties.",
145,147,SM31(AAC-12),AdhmAnam,(a) ādhmānam,आध्मानम्,,"It is characterised by distension of abdomen, flatulance, gurlging sounds, heaviness may be associated with pain, dyspepsia, constipation and dysuria. This may be explained by: (a) Aggravation of Descending vata affecting the excretory functions.",Note: Also Classifed under #san@annavahasrotovikAraH#[EB]
146,148,AAC-12.1(SM31),pratyAdhmAnaH/pratyAnAhaH,"(a) pratyādhmānaḥ,                    (a) pratyānāhaḥ",प्रत्याध्मानः/प्रत्यानाहः,,,Note: Also Classifed under #san@annavahasrotovikAraH#[EB]
147,149,AAC-13(SK30),bahirAyAmaH/bAhyAyAmaH/dhanuHstamBaH,(a) bahirāyāmaḥ (a) bāhyāyāmaḥ (a) dhanuḥstambhaḥ,बहिरायामः/बाह्यायामः/धनुःस्तम्भः,,,
148,150,AAC-13.1(SK30),asAdhyadhanuShkaMpa,(a) asādhyadhanuṣkaṃpa,असाध्यधनुष्कंप,,,
149,151,SM75(AAC-14),UrdhvavAtaH,(a) ūrdhvavātaḥ,ऊर्ध्ववातः,,"It is characterised by severe abdominal colicky pain, projectile vomiting with gastrointestinal contents. This may be explained by: (a) Reversal of Kindling vata, Descending vata functions.",
150,152,AAC-15(SK22),ekA~ggavAtaH,(a) ekāṅgavātaḥ,एकाङ्गवातः,,,
151,153,AAC-16(SK5Y),kalAyakha~jjaH,(a) kalāyakhañjaḥ,कलायखञ्जः,,,
