namaste_code,namaste_term,namaste_terms,icd_code,icd_description
SM50 (AAB-35),gudArtiH (kEvalavAta),It is characterised by pain in the anal region radiating to rest of perineum and lower back. This may be explained by: (a) Severe vitiation of Descending vata affecting the anal region. gudArtiH (kEvalavAta),FA24,Lumbar Spondylosis
AAB-36 (SP1Y),gulPa-grahaH (kEvalavAta),gulPa-grahaH (kEvalavAta),1A00,Cholera
AAB-37,gRudhrasI (kEvalavAta),"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body] gRudhrasI (kEvalavAta)",FA01,Rheumatoid Arthritis
SK91 (AAB-38),ghrANanASaH/nAsAhuNDanam (kEvalavAta),"It is characterised by decreased or loss of the smell. It may be explained by: (a) Vatadosha, kaphadosha blocking nasal passages ghrANanASaH/nAsAhuNDanam (kEvalavAta)",1D81,COVID-19
AAB-39(SP1Y),jAnuBedaH (kEvalavAta),jAnuBedaH (kEvalavAta),1A00,Cholera
AAB-40 (SP1Y),jAnuviSleShaH (kEvalavAta),jAnuviSleShaH (kEvalavAta),1A00,Cholera
SP95 (AAB-41),jRumBA (kEvalavAta),It is characterised by morbid excessive yawning. This may be explained by: (a) Increased vatadosha. jRumBA (kEvalavAta),5A10,Type 1 Diabetes Mellitus
AAB-42(SP98),tamaH (kEvalavAta),tamaH (kEvalavAta),1A00,Cholera
AAB-43,timiraH (kEvalavAta),timiraH (kEvalavAta),1A00,Cholera
AAB-44 (SN9Y),tvakSUnyatA (kEvalavAta),tvakSUnyatA (kEvalavAta),1A00,Cholera
AAB-45 (SP9Y),todaH (kEvalavAta),todaH (kEvalavAta),1A00,Cholera
AAB-46(SK30),daNDakaH (kEvalavAta),daNDakaH (kEvalavAta),1A00,Cholera
AAB-47,dantaBedaH (kEvalavAta),dantaBedaH (kEvalavAta),1A00,Cholera
AAB-48 (SM1Y),dantaSaithilyam (kEvalavAta),dantaSaithilyam (kEvalavAta),1A00,Cholera
SN60(AAB-49),nakhaBedaH (kEvalavAta),"It is characterised by whitish, mica coloured discoloration, brittleness of nails. This may be explained by: (a) Vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha. nakhaBedaH (kEvalavAta)",3A00,Iron Deficiency Anaemia
AAB-50(SN7Y),hrasvakeSaH (kEvalavAta),hrasvakeSaH (kEvalavAta),1A00,Cholera
AAB-51,nirAmavAtaH,nirAmavAtaH,1A00,Cholera
AAB-52,pakShAghAtaH/pakShavadhaH (kEvalavAta),pakShAghAtaH/pakShavadhaH (kEvalavAta),8B10,Transient Ischaemic Attack
AAB-53(SK21),pA~ggulyam (kEvalavAta),pA~ggulyam (kEvalavAta),1A00,Cholera
AAB-54(SK5Y),pAdaBraMSaH (kEvalavAta),pAdaBraMSaH (kEvalavAta),1A00,Cholera
AAB-55(SP4Y),pAdaSUlaH (kEvalavAta),pAdaSUlaH (kEvalavAta),1A00,Cholera
AAB-56(SP45),pAdasuptatA (kEvalavAta),pAdasuptatA (kEvalavAta),1A00,Cholera
SN4R(AAB-57),pAruShyam (kEvalavAta),It is characterised by roughness and thickness of skin may be associated with itching. This may be explained by: (a) Vitiated vatadosha. pAruShyam (kEvalavAta),EA10,Psoriasis
AAB-58,pArSvAvamardaH (kEvalavAta),pArSvAvamardaH (kEvalavAta),1A00,Cholera
AAB-59(SP9Y),piNDikodveShTanam (kEvalavAta),piNDikodveShTanam (kEvalavAta),1A00,Cholera
AAB-60,purIShAtigADhatvam (kEvalavAta),purIShAtigADhatvam (kEvalavAta),1A00,Cholera
SP42(AAB-61),pRuShTha-grahaH (kEvalavAta),"It is characterised by backache of various degrees associated with stiffness and immobility. This may be explained by: (a) Vitiation of vata, kapha affecting the local muscle tissue. pRuShTha-grahaH (kEvalavAta)",FC00,Low Back Pain
AAB-62,pralApakaH (kEvalavAta),pralApakaH (kEvalavAta),1A00,Cholera
AAB-63,bAdhiryam (kEvalavAta),bAdhiryam (kEvalavAta),1A00,Cholera
AAB-64(SP4Y),bAhuSoShaH (kEvalavAta),bAhuSoShaH (kEvalavAta),1A00,Cholera
AAB-65(SP9Y),balahAniH (kEvalavAta),balahAniH (kEvalavAta),1A00,Cholera
AAB-66(SP9Y),BedaH (kEvalavAta),BedaH (kEvalavAta),1A00,Cholera
AAB-67,BIrutA (kEvalavAta),BIrutA (kEvalavAta),1A00,Cholera
AAB-68(SM7Y),mala-apravRutiH (kEvalavAta),mala-apravRutiH (kEvalavAta),1A00,Cholera
AAB-69,mUkatvam (kEvalavAta),mUkatvam (kEvalavAta),1A00,Cholera
AAB-70,mohaH (kEvalavAta),mohaH (kEvalavAta),1A00,Cholera
AAB-71,BramaH (kEvalavAta),BramaH (kEvalavAta),1A00,Cholera
AAB-72(SK5Y),BrUvyudAsaH (kEvalavAta),BrUvyudAsaH (kEvalavAta),1A00,Cholera
AAB-73,manyAstamBaH (kEvalavAta),manyAstamBaH (kEvalavAta),1A00,Cholera
SM1N(AAB-74),mukhaSoShaH (kEvalavAta),"It is characterised by dryness of the tongue and may be associated with dryness of mouth, bitterness, heartburn. This may be explained by: (a) Vitiation of kapha, vata affecting the tongue. mukhaSoShaH (kEvalavAta)",DD70,Gastroesophageal Reflux Disease
SM81(AAB-75),mUtranigrahaH (kEvalavAta),"It is characterised by retention of urine, inability to urinate, abdominal pain. This may be explained by: (a) Retention of the urine due to vātadosha. mUtranigrahaH (kEvalavAta)",MG40,Oedema / Swelling
AAB-76,rajonASaH (kEvalavAta),rajonASaH (kEvalavAta),1A00,Cholera
SN42(AAB-77),raukShyam (kEvalavAta),"It is characterised by dryness, scaliness and cracking of extremities and face. This may be explained by: (a) Increased vata affecting skin raukShyam (kEvalavAta)",EA80,Vitiligo
AAB-78(SP9Y),lomaharShaH (kEvalavAta),lomaharShaH (kEvalavAta),1A00,Cholera
AAB-79(SK0Y),lalATaBedaH (kEvalavAta),lalATaBedaH (kEvalavAta),1A00,Cholera
AAB-80(SP1Y),trikagrahaH (kEvalavAta),trikagrahaH (kEvalavAta),1A00,Cholera
AAB-81,vartmastamBaH (kEvalavAta),vartmastamBaH (kEvalavAta),1A00,Cholera
AAB-82(SK7Y),vartmasa~gkocaH (kEvalavAta),vartmasa~gkocaH (kEvalavAta),1A00,Cholera
AAB-83(SP9Y),vakShoparodhaH (kEvalavAta),vakShoparodhaH (kEvalavAta),1A00,Cholera
AAB-84(SP9Y),vakShastodaH (kEvalavAta),vakShastodaH (kEvalavAta),1A00,Cholera
SK53(AAB-85),vAk-sa~ggaH (kEvalavAta),"It is characterised by loss of speech clarity, lalling, strained speech, may be aggravated due to excess speech. This may be explained by: (a) Aggravagtion of vata affecting kapha and faculty of speech. vAk-sa~ggaH (kEvalavAta)",AB30,Hearing Loss
AAB-86(SP9Y),vAcAlatA (kEvalavAta),vAcAlatA (kEvalavAta),1A00,Cholera
AAB-87(SP1Y),vAtakhuDDatA/vAtakaNTakaH (kEvalavAta),vAtakhuDDatA/vAtakaNTakaH (kEvalavAta),1A00,Cholera
AAB-88(SP9Y),vAmanatvam (kEvalavAta),vAmanatvam (kEvalavAta),1A00,Cholera
AAB-89(SM37),viD-BedaH (kEvalavAta),viD-BedaH (kEvalavAta),1A00,Cholera
AAB-90,vipAdikA (nAnAtmaja) (kEvalavAta),vipAdikA (nAnAtmaja) (kEvalavAta),1A00,Cholera
AAB-91(SQ04),viShAdaH/dInatA (kEvalavAta),viShAdaH/dInatA (kEvalavAta),1A00,Cholera
AAB-92(SN3Y),vRuShaNAkShepaH (kEvalavAta),vRuShaNAkShepaH (kEvalavAta),1A00,Cholera
AAB-93(SP4Y),va~gkShaNAnAhaH (kEvalavAta),va~gkShaNAnAhaH (kEvalavAta),1A00,Cholera
AAB-94(SP9Y),vyathA (kEvalavAta),vyathA (kEvalavAta),1A00,Cholera
AAB-95(SL7Y),SirAsPUrtiH (kEvalavAta),SirAsPUrtiH (kEvalavAta),1A00,Cholera
AAB-96,Siroruk (kEvalavAta),Siroruk (kEvalavAta),1A00,Cholera
SN03(AAB-97),SukrakShayaH (kEvalavAta),"It is characterised by decreased quantity and quality of semen, decreased sexual power, spermatorrhoea. This may be explained by: (a) Vitiation of all three dosha affecting male reproductive system. SukrakShayaH (kEvalavAta)",GC70,Erectile Dysfunction
AAB-98,Sa~gkhaBedaH (kEvalavAta),Sa~gkhaBedaH (kEvalavAta),1A00,Cholera
SN07(AAB-99),SePastamBaH (kEvalavAta),It is characterised by painful penile erection. This may be explained by: (a) Vitiated vata affecting the penis. SePastamBaH (kEvalavAta),GA81,Dysmenorrhoea
AAB-100(SP9Y),Saityam (kEvalavAta),Saityam (kEvalavAta),1A00,Cholera
AAB-101,SyAvAruNAsyatA (kEvalavAta),SyAvAruNAsyatA (kEvalavAta),1A00,Cholera
AAB-102,SroNiBedaH (kEvalavAta),SroNiBedaH (kEvalavAta),1A00,Cholera
AAB-103(SP9Y),sa~gkocaH (kEvalavAta),sa~gkocaH (kEvalavAta),1A00,Cholera
AAB-104,svedanASaH (kEvalavAta),svedanASaH (kEvalavAta),1A00,Cholera
AAB-105(SP9Y),SramaH (kEvalavAta),SramaH (kEvalavAta),1A00,Cholera
AAB-106,sarvA~ggarogaH/sarvA~ggavAtaH (kEvalavAta),sarvA~ggarogaH/sarvA~ggavAtaH (kEvalavAta),1A00,Cholera
AAB-107(SK52),stamBaH (kEvalavAta),stamBaH (kEvalavAta),1A00,Cholera
AAB-108(SP4Y),hanuBedaH (kEvalavAta),hanuBedaH (kEvalavAta),1A00,Cholera
AAB-109,hikkA (kEvalavAta),hikkA (kEvalavAta),1A00,Cholera
SL62(AAB-110),hRuddravaH (kEvalavAta),It is characterised by feeling of increased beating of the heart which is within the notice of the patient with or without tachycardia. This may be explained by: (a) Vitiation of vata affecting the heart region. hRuddravaH (kEvalavAta),BA41,Acute Myocardial Infarction
SL60(AAB-111),hRunmohaH (kEvalavAta),It is characterised by decreased heart rate may be associated with decreased heart function. This may be explained by: (a) Vitiated vata affecting pitta for intellect. hRunmohaH (kEvalavAta),5A00,Thyrotoxicosis / Hyperthyroidism
AAC,sAmAnyajavAtavikAraH,sAmAnyajavAtavikAraH,1A00,Cholera
AAC-1(SK30),antarAyAmaH,antarAyAmaH,1A00,Cholera
AAC-2(SK30),apatantrakaH,apatantrakaH,8A00,Epilepsy
AAC-2.1,asAdhya-apatantrakaH,"the disorder is characterized by garbhapātasamutpannaḥ [caused by miscarriage], śōṇitātisravōtthitaḥ [caused by excessive bleeding/heamorrhage], abhighātasamutthaḥ [caused by trauma] asAdhya-apatantrakaH",GA82,Menorrhagia
AAC-3(SK30),apatAnakaH,apatAnakaH,1A00,Cholera
SK20(AAC-4),arditaH,"It is characterised by deviation of one side of the face, difficulty in speech, loss of wrinkling, non closure of eyes and lips and dribbling of saliva from the angles of mouth This may be explained by: (a) increased vatadosha affecting one half of the face. arditaH",8B00,Cerebral Infarction / Stroke
AAC-4.1,ardita-pUrvarupam,"the disorder is characterized by rōmaharṣaḥ [horripilation], vēpathuḥ [shivering/tremors], āvilanētraḥ [turbid/muddy eyes], tvaci svāpaḥ [numbness in skin], tōdaḥ [pricking pain], manyāgrahaḥ [neck stiffness], hanugrahaḥ [lock jaw/catching sensation over jaw], ūrdhvavāyuḥ [upward movement of vāyu] ardita-pUrvarupam",FA20,Cervical Spondylosis
AAC-4.2,asAdhya-arditaH,"the disorder is characterized by avyaktabhāṣaṇam [incoherent speech], prasaktabhāṣaṇam [stammering speech/unable to speak, aphasia], kṣīṇaḥ [debilitatated person], kampaḥ/vēpanam [tremors], animiṣākṣasya [unable to close eye] asAdhya-arditaH",8C00,Facial Nerve Palsy (Bell Palsy)
AAC-5(SP0Y),asthipraBedaH,asthipraBedaH,1A00,Cholera
SP00(AAC-6),asthiSoShaH,"It is characterised by atrophy, weakness of bones; may lead to fractures. This may be explained by: (a) Weak digestive and metabolic factors, bone metabolism, malnutrition leading to severe aggravation of vata and decrease of kapha. asthiSoShaH",FA70,Osteoporosis
SN08(AAC-7),vAtAShThIlA,"It is characterised by increased frequency of urination, obstruction in passing urine, hesitancy, weak urinary stream. This may be explained by: (a) Vitiated vatadosha affecting urinary system. vAtAShThIlA",GC00,Benign Prostatic Hyperplasia
SP15(AAC-8),avabAhukaH,"""It is characterised by pain, stiffness and restricted movements of the shoulder joint. This may be explained by: (a) Increased vatadosha affecting the nerves and vessels of shoulder region. avabAhukaH",FB00,Frozen Shoulder
SK55(AAC-9),UrustamBaH/ADhyavAtaH,"It is characterised by flaccidity,log like immobility of the thighs. This may be explained by: (a) Obstruction of vata by the ama (state of incomplete digestion, transformation or metabolism). UrustamBaH/ADhyavAtaH",8A03,Trigeminal Neuralgia
AAC-9.1,UrustamBa-pUrvarUpam,"the disorder is characterized by dhyānaḥ [insensibility/meditatitve appearance], nidrā [sleep], atistaimityam/stimitatā [excessive rigidity], arōcakaḥ [tastelessness], jvaraḥ [fever], lōmaharṣaḥ [horripilation], chardiḥ [vomiting], jaṅghāsadanam [asthenia/fatigue of calf muscles], ūrusadanam [fatigue /weakness in thighs] UrustamBa-pUrvarUpam",CA40,Influenza
AAC-9.2(SK55),asAdhya-UrustamBaH,asAdhya-UrustamBaH,1A00,Cholera
AAC-10(SP2Y ),aMsaSoShaH,aMsaSoShaH,1A00,Cholera
SK30(AAC-11),AkShepakaH,"It is characterised by sudden, involuntary contractions of muscles, associated with dribbling of saliva, froth in the mouth and deviation of mouth, staring of eyes or rolling of eyeball. This may be explained by: (a) vitiated vatadosha affecting motor faculties. AkShepakaH",8A00,Epilepsy
SM31(AAC-12),AdhmAnam,"It is characterised by distension of abdomen, flatulance, gurlging sounds, heaviness may be associated with pain, dyspepsia, constipation and dysuria. This may be explained by: (a) Aggravation of Descending vata affecting the excretory functions. AdhmAnam",DA93,Intestinal Obstruction
AAC-12.1(SM31),pratyAdhmAnaH/pratyAnAhaH,pratyAdhmAnaH/pratyAnAhaH,1A00,Cholera
AAC-13(SK30),bahirAyAmaH/bAhyAyAmaH/dhanuHstamBaH,bahirAyAmaH/bAhyAyAmaH/dhanuHstamBaH,1A00,Cholera
AAC-13.1(SK30),asAdhyadhanuShkaMpa,asAdhyadhanuShkaMpa,1A00,Cholera
SM75(AAC-14),UrdhvavAtaH,"It is characterised by severe abdominal colicky pain, projectile vomiting with gastrointestinal contents. This may be explained by: (a) Reversal of Kindling vata, Descending vata functions. UrdhvavAtaH",DB90,Acute Pancreatitis
AAC-15(SK22),ekA~ggavAtaH,ekA~ggavAtaH,1A00,Cholera
AAC-16(SK5Y),kalAyakha~jjaH,kalAyakha~jjaH,1A00,Cholera
AAC-17(SP10),kroShTukaSIrShaH,kroShTukaSIrShaH,1A00,Cholera
AAC-18(SK2Y),kha~jjaH/kha~jjatvam,kha~jjaH/kha~jjatvam,1A00,Cholera
SP20(AAC-19),khallI,"It is characterised by severe spamodic, cramp like pain in upper or lower limb muscles. It may be shifting in nature. This may be explained by: (a) Severe vitiation of vatadosha. khallI",8A03,Trigeminal Neuralgia
SP41(AAC-20),gRudhrasI,"It is characterised by moderate to severe pain, starting from acetabulum of hip bone, mainly travelling laterally to ankle joint and rarely radiating from the medial side of thigh. This may be explained by: (a) Vitiation of vata affecting nerves, tendons, muscles of leg; may be associated with vitiated kapha (resulting in mild pain). gRudhrasI",1E30,Dengue Fever
AAC-20.1,vAtikagRudhrasI,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body] vAtikagRudhrasI",FA01,Rheumatoid Arthritis
AAC-20.2,vAtakaPaja-gRudhrasI,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], tandrā [drowsiness/lassitude], gauravam [heaviness], arōcakaḥ/bhaktadvēṣaḥ [tastelessness/aversion to food], vahnimārdavam [diminution of agni /hypofunction of digestive mechanism], mukhaprasēkaḥ [salivation] vAtakaPaja-gRudhrasI",FA24,Lumbar Spondylosis
AAC-21(SK22),jihvAstamBaH,jihvAstamBaH,1A00,Cholera
SM83(AAC-22),tUnI,"It is characterised by spasmodic pain in loin radiating to pubic region and thigh. It may be associated with haematuria, chills and fever. This may be explained by: (a) Obstruction of urinary passage (due to renal calculi) aggravates vata leading to spasmodic pain. tUnI",GB40,Urolithiasis (Kidney Stones)
AAC-239(SK30),daNDApatAnakaH,daNDApatAnakaH,1A00,Cholera
SK22(AAC-24),pakShAghAta/pakShavadhaH,"It is characterised by loss of mobility or flaccidity of one side of the body. May be associated with difficulty in swallowing, speech, deranged cognitive functions, tactile sensation. This may be explained by: (a) obstruction to body channels or severe lack of nutrition leading to aggravation of vatadosha affecting motor, sensory and cognitive functions. pakShAghAta/pakShavadhaH",8B00,Cerebral Infarction / Stroke
AAC-24.1,kaPAnvitapakShAghAtaH,"the disorder is characterized by śaitya [cold on touch on affected side of body], śōtha [oedema], gurutva [heaviness] kaPAnvitapakShAghAtaH",5B80,Obesity
AAC-24.2,pittAnvitapakShAghAtaH,"the disorder is characterized by dāhaḥ [burning sensation], santāpaḥ [burning sensation], mūrcchā [syncope/attacks of swooning] pittAnvitapakShAghAtaH",8E00,Peripheral Neuropathy
AAC-24.3,bAla-pakShAghAtaH,bAla-pakShAghAtaH,8B10,Transient Ischaemic Attack
AAC-26(SP9Y),pAdaharShaH,pAdaharShaH,1A00,Cholera
AAC-28,pratyaShThIlA,"the disorder is characterized by rujaḥ/atyugrarujā [pain/excessive pain], aṣṭhīlāvat ghanaṁ granthi [stony hard round shaped gland], vāta-rōdhanam/vātanirōdhaḥ [obstruction to flatus], viḍ-rōdhanam [obstruction to feces], mūtra-rōdhanam [obstruction in passage of urine], āṭōpaḥ [gurgling sound of the intestines/barborygmus], udarādhmānam [distention of abdomen] pratyaShThIlA",DA93,Intestinal Obstruction
